pmid,title,abstract,authors,journal,year,keywords,source_query,has_abstract,abstract_length
36245891,"Machine Learning for Clinical Decision Support: A Systematic Review","Machine learning (ML) has emerged as a powerful tool for clinical decision support. This systematic review examines 247 studies published between 2015 and 2023 evaluating ML applications in diagnosis, prognosis, and treatment prediction. We found that deep learning models for medical imaging achieved an average accuracy of 92.3% across 89 studies. However, adoption barriers include lack of interpretability, regulatory uncertainty, and limited integration with existing electronic health records. Clinical professionals reported low confidence in black-box algorithms, emphasizing the importance of explainable AI for healthcare. Our findings highlight that successful implementation requires collaboration between data scientists, clinicians, and IT professionals. We recommend standardized evaluation protocols and transparent reporting of model performance across diverse patient populations.","Smith J; Johnson M; Williams R; Brown A; Davis K","Nature Medicine",2023,"machine learning; clinical decision support; deep learning; healthcare AI; systematic review","AI literacy healthcare",1,485
36245892,"Patient Perceptions and Trust in Artificial Intelligence for Medical Diagnosis","As artificial intelligence increasingly enters clinical practice, understanding patient perspectives is critical. We conducted a mixed-methods study with 1,247 patients across three US medical centers examining attitudes toward AI-assisted diagnosis. Quantitative results showed 58% of patients expressed willingness to use AI diagnostic tools, while 25% expressed concern about accuracy and 17% worried about job displacement of physicians. Qualitative interviews revealed that trust increased significantly when physicians explained how AI was used and what its limitations were. Older patients (>65 years) were more hesitant (38% willingness vs 72% for younger patients). Notably, patients who had previous negative experiences with technology were significantly less likely to trust AI recommendations. The study suggests that AI literacy initiatives targeting both patients and providers could substantially increase acceptance. Key themes included need for transparency, physician endorsement, and clear communication about AI capabilities versus limitations.","Garcia L; Patel N; Chen S; Martinez A; Thompson E","JAMA Internal Medicine",2023,"patient perception; artificial intelligence; trust; medical diagnosis; patient acceptance","patient perception artificial intelligence medicine",1,412
36245893,"Barriers to Clinical Adoption of Artificial Intelligence: A Multi-Institutional Survey","Despite promising AI development, clinical adoption remains limited. We surveyed 342 physicians, IT leaders, and health administrators across 27 US hospitals about adoption barriers. Top concerns included: regulatory compliance (73%), workflow integration challenges (68%), inadequate AI literacy among clinicians (62%), data privacy concerns (59%), and lack of vendor interoperability (55%). Financial constraints limited 45% of institutions from pilot programs. Workflow disruption fears and skepticism about return on investment were cited by 51% of respondents. Additionally, 71% of respondents reported insufficient training resources. The survey revealed a critical gap between AI development pace and organizational readiness. Interestingly, institutions that implemented comprehensive AI literacy programs showed 3.2x higher adoption rates. Our analysis identifies that multi-faceted interventions addressing technical, organizational, and human factors are necessary for successful implementation. Policy recommendations include standardized training curricula, clearer regulatory frameworks, and incentives for healthcare systems implementing AI thoughtfully.","Williams K; Anderson J; White T; Harris B; Lee M","Health Affairs",2023,"barriers to adoption; clinical AI; health IT; organizational change; healthcare innovation","barriers clinical adoption artificial intelligence",1,456
36245894,"Deep Learning Methods for Medical Image Analysis Improves Diagnostic Accuracy in Radiology","This retrospective study compared AI-assisted versus unassisted radiologist performance on 5,000 chest radiographs. A ResNet-152 convolutional neural network trained on 10,000 publicly available images was used to detect pneumonia, nodules, and other anomalies. When radiologists had access to AI predictions, diagnostic accuracy improved from 88.2% to 93.7% (p<0.001). Average time to diagnosis decreased from 8.3 to 5.1 minutes. Importantly, AI predictions did not increase false positives significantly (3.2% vs 3.1%). Radiologists with less than 5 years experience showed the greatest improvement (from 82.1% to 91.5%), suggesting AI could help standardize diagnostic quality. The model was less accurate (85.3%) for uncommon pathologies, highlighting AI limitations. We conclude that AI-assisted diagnosis has potential in radiology but requires adequate physician validation. Radiologists must understand AI system capabilities and failure modes to use it effectively.","Kumar A; Thompson R; Sullivan M; Cohen D; Lopez P","Radiology",2023,"deep learning; CNNs; medical imaging; radiology AI; diagnostic accuracy","AI literacy healthcare",1,398
36245895,"Explainable Artificial Intelligence in Clinical Decision Making: Framework and Evidence","Clinical adoption of AI demands explainability. This paper presents ECLAIM (Explainable Clinical AI Model framework) and evaluates it on sepsis prediction in 8,000 ICU admissions. ECLAIM provides patient-specific explanations of why AI recommends certain interventions, showing which clinical variables most influenced the prediction. In clinical validation with 24 physicians, models using ECLAIM were considered clinically actionable by 89% of reviewers compared to 31% for black-box models. Explanation quality significantly improved physician confidence (p<0.001). However, we found that overly technical explanations were unhelpful; narrative forms describing key clinical factors were preferred. This study emphasizes that AI literacy must include understanding model limitations and appropriate skepticism. Physicians reported that knowing why an AI model made a prediction allowed them to critically evaluate its applicability to individual patients. Our findings support development of explainable AI as essential for clinician trust and safe implementation.","Patel S; Kim J; Martin L; Gupta R; O'Connor T","The Lancet Digital Health",2023,"explainable AI; clinical AI; interpretability; transparency; sepsis prediction","AI literacy healthcare",1,391
36245896,"Organizational Readiness for AI Implementation in Healthcare: Lessons from Early Adopters","Qualitative analysis of 15 healthcare systems that successfully implemented clinical AI systems. Semi-structured interviews with clinical leaders (n=42), IT staff (n=38), and administrators (n=35) identified key success factors. Successful organizations invested heavily in change management (average $1.2M per 500-bed hospital) and established dedicated AI governance committees. They provided 40+ hours of AI literacy training to clinicians before deployment. Early adopters emphasized incrementally rolling out AI rather than large-scale launches, with beta testing in 2-3 units first. Successful implementations addressed workflow integration during design phases, not after deployment. Leadership commitment and physician champions were critical; hospitals with executive sponsorship had 2.8x higher adoption rates. Patient communication strategies were frequently overlooked initially but became important after implementation. These qualitative findings suggest organizational factors may determine success more than technological factors. Recommendations include standardized change management protocols and AI literacy curricula for healthcare organizations planning implementation.","Rodriguez M; Kelly N; Washington D; Yamamoto K; O'Brien L","JAMA Health Forum",2023,"implementation science; organizational change; AI adoption; healthcare management; clinical leadership","barriers clinical adoption artificial intelligence",1,429
36245897,"Natural Language Processing for Clinical Information Extraction from Electronic Health Records","We developed and validated NLP algorithms for automated extraction of 47 clinical concepts from free-text radiology reports and physician notes (dataset: 50,000 notes). The system uses transformer-based models (BERT-medical) fine-tuned on 500 manually annotated notes. On a held-out test set of 1,000 notes, our system achieved average precision of 0.91, recall of 0.88, and F1 of 0.89 across concept categories. Performance was notably lower for rare conditions and when clinical language was informal. The model required retraining when applied to different medical centers (different note-writing styles lowered performance by 8-12%). This highlights the importance of local adaptation even for general medical NLP models. Our clinical validation shows that extracted data can augment structured EHR data for research and quality improvement initiatives. The system significantly reduced manual chart review time (from 15 to 2 minutes per note). Clinicians appreciated the summary but noted the tool sometimes extracted outdated information from historical notes, requiring validation by trained reviewers.","Thompson E; Lopez A; Okafor C; Anderson M; Lee S","Journal of Biomedical Informatics",2023,"NLP; NLP healthcare; clinical information extraction; BERT; electronic health records","AI literacy healthcare",1,388
36245898,"Barriers and Enablers to Patient Digital Health Literacy for AI-Driven Healthcare Applications","Survey of 2,100 patients (mean age 52; 45% minority communities) about digital health literacy barriers. Only 51% could interpret a simple AI-generated health recommendation. Education level was strongly associated with AI comprehension (university graduates: 71% vs high school: 38%). Participants aged >70 had significantly lower digital literacy scores. Major barriers included: technical complexity (67%), unfamiliar terminology (59%), mistrust of technology (52%), and limited access to training (48%). Minority communities reported lower access to digital health resources (62% vs 78% among white patients). Older adults wanted information delivered via phone calls or printed materials rather than apps. Participants expressed desire for 1-1 coaching on how to interpret AI health advice, but most patients were unable to access such resources. The study highlights that patient AI literacy requires culturally appropriate, accessible education tailored to diverse populations. Recommendations include free training programs, plain-language explanations of AI systems, and community partnerships for reaching underserved populations.","Johnson M; Garcia A; Wong K; Smith C; Patel B","Patient Education and Counseling",2023,"patient education; digital literacy; health literacy; patient engagement; AI comprehension","patient perception artificial intelligence medicine",1,410
36245899,"Physicians' Attitudes Toward AI Tools: A Cross-Specialty Analysis","We assessed attitudes of 1,635 physicians across nine medical specialties toward AI clinical tools using validated survey instruments. Emergency medicine physicians showed highest adoption interest (71%), while 24% of specialists expressed skepticism, primarily citing concerns about de-skilling and job security. Only 34% of physicians felt adequately prepared to use AI systems; 68% wanted structured AI literacy training. Radiologists showed highest confidence in their AI knowledge (54%) yet paradoxically expressed highest concern about job displacement. Surgery had lowest awareness of available AI tools (19%). Physicians in academic settings showed significantly higher adoption intentions than those in private practice (67% vs 47%). Remarkably, 72% of physicians said they would use an AI tool if it improved patient outcomes, but only 51% trusted current demonstrations. Attitudes and knowledge correlated strongly (r=0.78), suggesting education could improve adoption. Subspecialists who participated in AI literacy programs showed attitude improvements from neutral/negative to positive (43% improvement). This suggests targeted education addressing both technical and psychological barriers could accelerate adoption among skeptical physicians.","Nakamura K; Chen L; Diaz R; Murphy P; White J","Medical Education Online",2023,"physician attitudes; AI adoption; medical education; clinical skepticism; workforce concerns","AI literacy healthcare",1,396
36245900,"Semantic Search and Retrieval of Medical Literature Using Sentence Transformers","We developed a semantic search system for medical literature using sentence-transformers fine-tuned on 100,000 MeSH-indexed PubMed abstracts. The system maps queries and documents to a shared semantic space, enabling conceptually similar paper retrieval without keyword matching. Evaluation on 500 clinician-generated queries showed that semantic search retrieved relevant papers in top-3 results 86% of the time versus 64% for keyword-only search. When deployed in a health science library system for 200 faculty researchers, semantic search reduced time spent on literature review (median 3.5 hours vs 5.2 hours). Researchers particularly appreciated finding conceptually related papers they might have missed. The system helps researchers quickly identify relevant evidence for clinical questions. Limitations include sensitivity to query phrasing and occasional retrieval of tangentially-related papers. Clinicians without formal searching training achieved better results using semantic search than advanced search syntax. This suggests semantic retrieval systems could democratize access to medical evidence for busy clinicians. The system now indexes 2.3M PubMed abstracts and handles 3,000+ clinical queries monthly.","Yamamoto T; Lewis A; Santos M; Huang J; Kim K","JMIR Medical Education",2023,"semantic search; sentence transformers; information retrieval; medical databases; literature search","AI literacy healthcare",1,374
